date,total_balance,pnl,daily_pct,equity,opened_bucket,active_buckets,invested_ratio,topk_generated,pnl_from_hold
2024-06-12,1735831.4784993627,2529.0021489877254,0.001459065675780241,1.7358314784993627,3,4,1.0,10,2949.8580905494746
2024-06-13,1735850.7271021316,19.248602768871933,1.1088981279169145e-05,1.7358507271021315,0,4,1.0,10,421.67541692295345
2024-06-14,1746320.3074073538,10469.580305222189,0.006031382849780144,1.7463203074073537,1,4,1.0,10,10912.302804839856
2024-06-17,1759938.2101449054,13617.902737551602,0.007798055534135775,1.7599382101449055,2,4,1.0,10,14088.025230272498
2024-06-18,1765082.932115752,5144.721970846644,0.002923240112175899,1.765082932115752,3,4,1.0,10,5572.6682854846
2024-06-19,1776533.1321157087,11450.199999956647,0.006487060631327751,1.7765331321157087,0,4,1.0,10,11861.936727612803
2024-06-20,1776912.2357233316,379.10360762290657,0.00021339518006704695,1.7769122357233316,1,4,1.0,10,829.733438132098
2024-06-21,1770713.1506902976,-6199.0850330339745,-0.0034886838575403805,1.7707131506902976,2,4,1.0,10,-5726.715734092984
2024-06-24,1753138.5726843453,-17574.578005952295,-0.009925141177779696,1.7531385726843454,3,4,1.0,10,-17150.915610561147
2024-06-25,1761178.1899819898,8039.617297644494,0.004585842455873017,1.7611781899819898,0,4,1.0,10,8451.129204351339
2024-06-26,1764000.5019267255,2822.311944735702,0.0016025135677864395,1.7640005019267255,1,4,1.0,10,3272.130152790807
2024-06-27,1795659.076396211,31658.574469485553,0.017947032574484274,1.795659076396211,2,4,1.0,10,32137.14546906628
2024-06-28,1820858.244935403,25199.168539192062,0.014033381319668657,1.8208582449354032,3,4,1.0,10,25636.913808850397
2024-07-01,1835045.7969969027,14187.552061499562,0.007791684004485962,1.8350457969969027,0,4,1.0,10,14614.350525741233
2024-07-02,1823915.435579729,-11130.36141717364,-0.006065440674771577,1.8239154355797291,1,4,1.0,10,-10660.79530619306
2024-07-03,1823225.0672528816,-690.3683268474415,-0.0003785089557225052,1.8232250672528816,2,4,1.0,10,-201.26267406885745
2024-07-04,1834708.1257085796,11483.05845569796,0.006298212251436348,1.8347081257085796,3,4,1.0,10,11917.006063287321
2024-07-05,1837584.680287311,2876.554578731535,0.0015678540572335372,1.837584680287311,0,4,1.0,10,3308.9610291674617
2024-07-08,1868578.1149290989,30993.434641787782,0.016866398035568015,1.868578114929099,1,4,1.0,10,31468.055882818473
2024-07-09,1860864.8958648024,-7713.219064296456,-0.004127854759012377,1.8608648958648024,2,4,1.0,10,-7212.058461752138
2024-07-10,1877070.110311723,16205.214446920669,0.008708431484161883,1.877070110311723,3,4,1.0,10,16654.868207279593
2024-07-11,1884867.0697084393,7796.959396716207,0.004153792313821125,1.8848670697084393,0,4,1.0,10,8240.25983332569
2024-07-12,1892594.7238579807,7727.6541495413985,0.004099840393909981,1.8925947238579808,1,4,1.0,10,8212.231945801468
2024-07-15,1950036.297154013,57441.57329603238,0.030350699265894586,1.950036297154013,2,4,1.0,10,57969.19463018241
2024-07-16,1962692.9447270501,12656.647573037073,0.006490467685913774,1.9626929447270502,3,4,1.0,10,13127.42781287292
2024-07-17,1979236.8394595135,16543.894732463406,0.008429181333183093,1.9792368394595135,0,4,1.0,10,17008.808706680487
2024-07-18,2013958.6624353682,34721.82297585462,0.01754303592355142,2.013958662435368,1,4,1.0,10,35236.79937439191
2024-07-19,2014448.747103108,490.08466773992404,0.00024334395580259425,2.014448747103108,2,4,1.0,10,1037.149024368904
2024-07-22,1985014.7065319098,-29434.040571198333,-0.014611461628659532,1.9850147065319097,3,4,1.0,10,-28958.690333336883
2024-07-23,1991802.1104550853,6787.4039231755305,0.0034193217313911225,1.9918021104550854,0,4,1.0,10,7246.492045491759
2024-07-24,1986174.8352839262,-5627.275171159068,-0.0028252179981239967,1.9861748352839261,1,4,1.0,10,-5119.853662710171
2024-07-25,1975489.9708065481,-10684.864477378083,-0.005379619300156256,1.975489970806548,2,4,1.0,10,-10144.044971845462
2024-07-26,1967247.0842631129,-8242.886543435277,-0.004172578279438135,1.967247084263113,3,4,1.0,10,-7768.049204097595
2024-07-29,1963753.8189193157,-3493.2653437971603,-0.0017757125537210595,1.9637538189193158,0,4,1.0,10,-3044.6842408154043
2024-07-30,2017215.993626729,53462.174707413185,0.02722447905248849,2.017215993626729,1,4,1.0,10,53967.551221470116
2024-07-31,2005250.4225640534,-11965.571062675444,-0.0059317252592087,2.0052504225640533,2,4,1.0,10,-11423.188918505679
2024-08-01,1982771.7950855314,-22478.627478522016,-0.011209885421582045,1.9827717950855315,3,4,1.0,10,-21994.845368522685
2024-08-02,1952651.0060955393,-30120.788989992114,-0.015191253509177936,1.9526510060955393,0,4,1.0,10,-29666.13197342126
2024-08-05,1953250.4260913073,599.4199957679957,0.00030697753663957463,1.9532504260913073,1,4,1.0,10,1092.1783893948304
2024-08-06,1946577.6395627963,-6672.786528510973,-0.0034162473174850568,1.9465776395627963,2,4,1.0,10,-6148.763021412713
2024-08-07,1954448.1683498595,7870.528787063202,0.004043264767405286,1.9544481683498596,3,4,1.0,10,8344.218230895756
2024-08-08,1947246.5841119098,-7201.58423794969,-0.0036847148748027363,1.9472465841119098,0,4,1.0,10,-6749.216184966266
2024-08-09,1955430.4406616362,8183.8565497263335,0.004202783877758751,1.955430440661636,1,4,1.0,10,8678.672760063666
2024-08-12,1954750.2718543196,-680.1688073165715,-0.00034783584891234006,1.9547502718543197,2,4,1.0,10,-152.97012549184728
2024-08-13,1945300.6778566677,-9449.593997651944,-0.004834169424971021,1.9453006778566677,3,4,1.0,10,-8979.742745917756
2024-08-14,1976021.3353332488,30720.657476581167,0.015792241182185363,1.9760213353332488,0,4,1.0,10,31181.639493986033
2024-08-15,2013059.8418922909,37038.50655904203,0.018743981098157333,2.0130598418922907,1,4,1.0,10,37547.86717756605
2024-08-16,2043940.1932707103,30880.351378419437,0.015340006658416911,2.04394019327071,2,4,1.0,10,31429.511116331676
2024-08-19,2032028.7802299596,-11911.41304075066,-0.005827672003303596,2.0320287802299597,3,4,1.0,10,-11420.764117562678
2024-08-20,2040465.4031009397,8436.622870980063,0.0041518225298094995,2.0404654031009395,0,4,1.0,10,8913.368212274567
2024-08-21,2040340.5309239638,-124.87217697594315,-6.119788984717516e-05,2.040340530923964,1,4,1.0,10,394.1460695937858
2024-08-22,2056275.7040746505,15935.17315068678,0.0078100556790246045,2.0562757040746504,2,4,1.0,10,16489.912508620066
2024-08-23,2054673.7703230288,-1601.9337516217493,-0.0007790461894032052,2.0546737703230287,3,4,1.0,10,-1108.893841601559
2024-08-26,2073783.840226645,19110.069903616328,0.009300780581148855,2.0737838402266453,0,4,1.0,10,19596.3851486927
2024-08-27,2064684.5070694743,-9099.333157170797,-0.004387792488621343,2.064684507069474,1,4,1.0,10,-8577.885729174071
2024-08-28,2055931.8000253695,-8752.707044104813,-0.004239246729529653,2.0559318000253697,2,4,1.0,10,-8199.934821753763
2024-08-29,2096246.284460837,40314.484435467515,0.019608862723447366,2.096246284460837,3,4,1.0,10,40808.38947339775
2024-08-30,2058099.7841612706,-38146.500299566425,-0.01819752792519695,2.0580997841612705,0,4,1.0,10,-37658.213684614515
2024-09-02,2069444.1878788224,11344.403717551846,0.005512076627603839,2.0694441878788226,1,4,1.0,10,11876.618341240508
2024-09-03,2057704.9400438035,-11739.247835018905,-0.005672657375240266,2.0577049400438034,2,4,1.0,10,-11184.994633369846
2024-09-04,2049690.8488200358,-8014.091223767726,-0.003894674628908227,2.0496908488200356,3,4,1.0,10,-7537.615639425465
2024-09-05,2052830.3647716413,3139.5159516055137,0.0015317021849479728,2.0528303647716415,0,4,1.0,10,3627.7090273638023
2024-09-06,2036833.1484472726,-15997.216324368725,-0.0077927609601333376,2.036833148447273,1,4,1.0,10,-15474.440428513917
2024-09-09,2052078.641892533,15245.49344526045,0.007484900497069414,2.052078641892533,2,4,1.0,10,15802.441399941861
2024-09-10,2045067.7236313827,-7010.918261150364,-0.003416495897391404,2.045067723631383,3,4,1.0,10,-6540.807617582439
